"S.N","Scheme Code","MSC_Primary","MSC_Secondary","WEP_Primary","WEP_Secondary","Vertical ","Title","Scheme Provider","Area Of Interest","Sector ","State","Eligibility","Link for enrollment","Link to scheme information","Link to government website","Details","Gender ","Implementing Agency","Target Audience",""
"1","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Mukhyamantri Samekit Hastkargha Vikas Yojna","Department of Industries","","Manufacturing","Bihar","Weavers","NA","","https://state.bihar.gov.in/cache/26/Schemes/SchemeInfo-MSHVY.pdf","The General Manager of the concerned district will be the implementing officer of this scheme. The scheme is for Bhagalpur and Gaya. The scheme provides new looms in place of old looms, providing corpus funds and construction of the workshop.","B","","Entrepreneurs",""
"2","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","CM Micro and Small Industries Cluster Development Scheme","Department of Industries","","All","Bihar","","NA","","https://state.bihar.gov.in/cache/26/Schemes/SchemeInfo-CM-MSICD.pdf","Micro and small industries have an important place in the field of economic development and self-employment generation in the state. Entrepreneurs / artisans associated with this sector are producing and marketing with traditional techniques as the demand of the national market and new technology is not available accordingly, due to which they are not able to get the price of the products competitively.The scheme aims at providing them with new technology, latest technology plots/machinery, packaging process skills and information to improve quality, providing financial assistance for setting up of Design Center, Testing Center, Efffuent Treatment Plant, Training Center, Raw Material Depot so that they can sell their products. It also aims to make the quality and its presentation attractive, as a result of which the customers can become more attracted. It also aims at establishing a common facility center under the Chief Minister's Micro and Small Industries Cluster Development Scheme.","N","","Third Parties",""
"3","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","ChiefMinister's Cluster Handloom Development Scheme","Department of Industries","","Manufacturing","Bihar","Weavers","NA","","https://state.bihar.gov.in/cache/26/Schemes/SchemeInfo-CMHD.pdf","The aim of the scheme is to increase income and standard of living by providing corpus fund (margin money), organizing workshops to the weavers who do weaving work on their own looms, or to a master weaver here and have a place to set up looms in their homes. Weavers who do weaving work on their own looms or in the hands of a master weaver and have a place to set up looms in their own homes, need to increase their income and standard of living by providing corpus funds (margin money), workshops. The scheme will be transferred to the selected weavers in their savings account. The eligible weavers of the scheme - by choosing those who have been doing weaving work for at least one year.","B","","Entrepreneurs",""
"4","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Chief Minister's Tasar Development Scheme","Department of Industries","","Agri and allied activities","Bihar","Farmers who haave 0.7 hectars or maore high land","NA","","https://state.bihar.gov.in/cache/26/Schemes/SchemeInfo-CMTD.pdf","Under this scheme, the facilities payable to those farmers who have minimum 0.70 hectare or more high land and they are interested in tasar plantation/pesticide, are as follows:
(I) Amount of assistance per hectare (1975 saplings) for nursery and plantation - Rs 33944 and beneficiary contribution - Rs 8519 (II) per hectare for the maintenance of plants, during first-year assistance amounts to Rs. 4587 and beneficiary contribution is Rs. 1786. And during the second year - The amount of assistance is Rs. 6517 and the Beneficiary contribution is Rs.2001
(III) Intercrop (first year only) - per hectare, Assistance amount is Rs. 3333 and Beneficiary contribution is Rs. 667","B","","Entrepreneurs",""
"5","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Integrated Development Food Processing Sector Yojana","Department of Industries","","Agri and allied activities","Bihar","Agri entrepreneurs","NA","","https://state.bihar.gov.in/cache/26/Schemes/SchemeInfo-IDFPY.pdf","Under this scheme, a provision has been made to give 35 percent of the project cost to the maximum of Rs. 5 crores. 

Implementation of the scheme can be done by private investors and SPMs. At least five entrepreneurs / undertakings can be partners for the formation of SP. For common cluster infrastructure to be developed by SPM, 40 percent of the project cost, maximum Rs 10 crore, will be given to SPM and 35 percent (maximum Rs 5 crore) of the project cost will be given to the private investor. But if the production unit will be set up by SPM, then it will also be given a grant equal to that of the private investor.

The project cost includes land, factory building, plant and machinery R&D, quality control centre, trade and display centre, warehousing facility, water supply, electricity supply (including captive power plant). Effluent treatment will be implied. Grant for quality control and R&D will also be added to the project cost in case of indivisible summer. Where SPM does the work of production, there is no distinction to be made between SPM and private investor.","B","","Entrepreneurs",""
"6","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Auxiliary rate distribution program of metal kotha","Agricuture Department","","Agri and allied activities","Bihar","Farmers","NA","","https://state.bihar.gov.in/krishi/cache/29/15-Nov-21/SHOW_DOCS/Auxiliary%20rate%20distribution%20program%20of%20metal%20kotha.pdf","Under the state scheme, metal houses are distributed to the farmers at subsidized rates for food storage.","B","","Entrepreneurs",""
"7","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Paddy's community nursery development","Agricuture Department","","Agri and allied activities","Bihar","Farmers","NA","","https://state.bihar.gov.in/krishi/cache/29/15-Nov-21/SHOW_DOCS/Paddy%20community%20nursery%20development.pdf","Under the state plan, provisions are for providing financial assistance to the farmers and for the development of community nurseries for paddy growers. The assistance amount of Rs. 6500 is provided.","B","","Entrepreneurs",""
"8","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Diyara development scheme","Agricuture Department","","Agri and allied activities","Bihar","Farmers","NA","","https://eastchamparan.nic.in/programmes-and-schemes/","Under the scheme, a grant of 50% of the cost value of the hybrid seed of Gord’s Group and Melons Vegetable will be given at a maximum of Rs. 8000 / ha. 
A provision of a grant of 50% of the cost value of seeds in advanced / hybrid pea seeds will be given at a maximum of Rs. 7000 / ha. 
A grant of 50 per cent of the cost of P.V.C. Pipe boring maximum of Rs 9000 / – per unit grant will be given. 
A grant of 50 per cent of the cost value in the Pavral Production of Advanced Prognosis, maximum of Rs. 24000 / ha will be given.","B","","Entrepreneurs",""
"9","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Seed scheme / Seed distribution on grants","Agricuture Department","","Agri and allied activities","Bihar","Farmers","NA","","https://eastchamparan.nic.in/programmes-and-schemes/","Under the Chief Minister Sharad Seed Extension scheme, every 02-02 farmers of the villages for wheat, gram / lentil will be selected and they will be provided 20 kg / 08 kg / 04 kg seed at 90% subsidy.
- A grant of 50 per cent of the value of seed for the purchase of certified seed, Rs. 15 per kg in wheat, Rs. 33 per kg in Black, Mustard / Mustard / Linseed / sesame / soybean, Rs. 50 per kg in pulses and 70 in hybrid sunflower / black mustard / mustard seed will be given.
- A grant of Rs. 2000 per acre for black mustard / mustard (with beekeeping) and sunflower demonstration (with bee keeping) at a rate of Rs. 2400 per acre will be given.","B","","Entrepreneurs",""
"10","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Grant for Crop Demonstration","Agricuture Department","","Agri and allied activities","Bihar","Farmers","NA","","https://eastchamparan.nic.in/programmes-and-schemes/","The scheme offers a grant of Rs 3,600 per acre per farmer will be given for seed treatment, weedicide, micro nutrients and sowing expenditure from Zero Tillage.
Grant will be given to farmers at Rs 6,000 per acre per farmer for crop based demonstration (Wheat from Zero Tillage).
Grant will be given to a total of Rs 3,600 per acre per farmer in each item for seed, seed treatment, plant protection, soil treatment for lentil / gram / moong / rajma crop.
Rai / mustard demonstration and beekeeping has been provided for granting Rs. 2000 per acre.","B","","Entrepreneurs",""
